Date,Open,High,Low,Close
2013-01-02,142.619,146.243,142.619,146.242
2013-01-03,146.242,146.547,145.553,145.937
2013-01-04,145.937,146.794,145.899,146.647
2013-01-07,146.647,146.647,145.662,146.189
2013-01-08,146.189,146.189,145.164,145.715
2013-01-09,145.715,146.473,145.715,146.102
2013-01-10,146.102,147.230,146.102,147.212
2013-01-11,147.212,147.275,146.758,147.205
2013-01-14,147.205,147.205,146.569,147.068
2013-01-15,147.067,147.331,146.376,147.234
2013-01-16,147.233,147.396,146.760,147.263
2013-01-17,147.263,148.516,147.263,148.094
2013-01-18,148.095,148.598,147.581,148.598
2013-01-22,148.598,149.256,148.116,149.256
2013-01-23,149.256,149.613,148.990,149.481
2013-01-24,149.481,150.227,148.946,149.482
2013-01-25,149.482,150.326,149.482,150.296
2013-01-28,150.296,150.323,149.633,150.018
2013-01-29,150.018,150.935,149.809,150.784
2013-01-30,150.784,150.994,150.011,150.196
2013-01-31,150.196,150.419,149.676,149.811
2013-02-01,149.811,151.441,149.811,151.317
2013-02-04,151.317,151.317,149.502,149.571
2013-02-05,149.571,151.496,149.571,151.129
2013-02-06,151.129,151.253,150.471,151.212
2013-02-07,151.212,151.290,149.849,150.939
2013-02-08,150.939,151.831,150.939,151.793
2013-02-11,151.793,151.831,151.361,151.701
2013-02-12,151.701,152.229,151.561,151.943
2013-02-13,151.943,152.469,151.593,152.033
2013-02-14,152.033,152.314,151.402,152.138
2013-02-15,152.138,152.424,151.414,151.979
2013-02-19,151.979,153.094,151.979,153.094
2013-02-20,153.094,153.094,151.141,151.195
2013-02-21,151.195,151.195,149.729,150.242
2013-02-22,150.242,151.564,150.242,151.560
2013-02-25,151.560,152.584,148.785,148.785
2013-02-26,148.785,149.899,148.501,149.694
2013-02-27,149.694,152.008,149.488,151.599
2013-02-28,151.599,152.534,151.446,151.468
2013-03-01,151.468,151.999,150.148,151.820
2013-03-04,151.820,152.527,151.229,152.520
2013-03-05,152.520,154.347,152.520,153.979
2013-03-06,153.979,154.525,153.811,154.146
2013-03-07,154.146,154.578,154.146,154.426
2013-03-08,154.426,155.248,154.294,155.118
2013-03-11,155.115,155.627,154.736,155.622
2013-03-12,155.622,155.677,154.824,155.248
2013-03-13,155.248,155.639,154.825,155.452
2013-03-14,155.452,156.332,155.452,156.323
2013-03-15,156.321,156.362,155.574,156.070
2013-03-18,156.070,156.070,154.513,155.210
2013-03-19,155.210,155.725,153.857,154.834
2013-03-20,154.834,156.156,154.834,155.871
2013-03-21,155.871,155.871,154.355,154.580
2013-03-22,154.590,155.774,154.590,155.689
2013-03-25,155.689,156.491,154.622,155.169
2013-03-26,155.169,156.395,155.169,156.377
2013-03-27,156.375,156.407,155.190,156.285
2013-03-28,156.286,157.028,156.108,156.919
2013-04-01,156.918,157.057,155.847,156.217
2013-04-02,156.217,157.366,156.217,157.025
2013-04-03,157.025,157.147,154.980,155.369
2013-04-04,155.369,156.260,155.252,155.998
2013-04-05,155.998,155.998,153.950,155.328
2013-04-08,155.326,156.307,154.863,156.307
2013-04-09,156.311,157.389,156.092,156.861
2013-04-10,156.861,158.907,156.861,158.773
2013-04-11,158.773,159.735,158.617,159.337
2013-04-12,159.330,159.330,157.997,158.885
2013-04-15,158.884,158.884,155.228,155.236
2013-04-16,155.236,157.535,155.236,157.457
2013-04-17,157.457,157.457,154.369,155.201
2013-04-18,155.203,155.438,153.603,154.161
2013-04-19,154.161,155.589,153.940,155.525
2013-04-22,155.525,156.555,154.819,156.250
2013-04-23,156.250,157.958,156.250,157.878
2013-04-24,157.878,158.300,157.580,157.879
2013-04-25,157.893,159.264,157.893,158.516
2013-04-26,158.516,158.578,157.756,158.224
2013-04-29,158.234,159.665,158.234,159.361
2013-04-30,159.358,159.757,158.650,159.757
2013-05-01,159.755,159.755,158.128,158.270
2013-05-02,158.277,159.860,158.277,159.759
2013-05-03,159.760,161.846,159.760,161.442
2013-05-06,161.440,161.977,161.421,161.750
2013-05-07,161.755,162.603,161.664,162.596
2013-05-08,162.595,163.278,162.270,163.269
2013-05-09,163.269,163.501,162.309,162.667
2013-05-10,162.669,163.370,162.371,163.370
2013-05-13,163.210,163.600,162.674,163.377
2013-05-14,163.375,165.110,163.375,165.034
2013-05-15,164.913,166.149,164.668,165.878
2013-05-16,165.807,166.051,164.860,165.047
2013-05-17,165.245,166.747,165.245,166.747
2013-05-20,166.571,167.284,166.352,166.629
2013-05-21,166.620,167.493,166.267,166.916
2013-05-22,166.939,168.718,164.886,165.535
2013-05-23,165.162,165.550,163.553,165.051
2013-05-24,164.667,164.978,163.688,164.960
2013-05-28,165.263,167.421,165.263,166.006
2013-05-29,165.657,165.657,164.005,164.836
2013-05-30,164.914,166.191,164.861,165.441
2013-05-31,165.213,165.899,163.074,163.074
2013-06-03,163.171,164.042,162.272,164.042
2013-06-04,164.073,164.653,162.362,163.138
2013-06-05,162.905,162.931,160.709,160.890
